p_val	avg_log2FC	pct.1	pct.2	p_val_adj	cluster	gene
C22orf34	0	1.85894817145892	0.414	0.008	0	Endo	C22orf34
CAVIN2	0	1.85408264994913	0.458	0.07	0	Endo	CAVIN2
NAMPT	0	1.85074241342076	0.678	0.253	0	Endo	NAMPT
ARHGAP31	0	1.83262817616392	0.685	0.222	0	Endo	ARHGAP31
STOM	0	1.82879825488486	0.678	0.249	0	Endo	STOM
BACE2	0	1.81856893700639	0.59	0.232	0	Endo	BACE2
ENG	0	1.81136518639611	0.661	0.209	0	Endo	ENG
BSG	0	1.79993368515839	0.733	0.448	0	Endo	BSG
SMAD6	0	1.79967863302127	0.461	0.142	0	Endo	SMAD6
ACSL5	0	1.79912066590351	0.45	0.036	0	Endo	ACSL5
ICAM2	0	1.79432257353371	0.441	0.028	0	Endo	ICAM2
ADGRF5	0	1.79038752434288	0.66	0.203	0	Endo	ADGRF5
TPST2	0	1.78287085194361	0.462	0.042	0	Endo	TPST2
SEMA6A	0	1.78241622979921	0.424	0.027	0	Endo	SEMA6A
LIMS2	0	1.77740173150618	0.512	0.047	0	Endo	LIMS2
CPNE8	0	1.77494241396987	0.718	0.333	0	Endo	CPNE8
ANKS1A	0	1.76183854450441	0.745	0.418	0	Endo	ANKS1A
GFOD1	0	1.74265635750419	0.474	0.069	0	Endo	GFOD1
GPCPD1	0	1.73993295350783	0.556	0.26	0	Endo	GPCPD1
CRIM1	0	1.7336342433036	0.789	0.483	0	Endo	CRIM1
MEF2A	0	1.72904215344065	0.789	0.497	0	Endo	MEF2A
SHROOM4	0	1.72632519534233	0.485	0.068	0	Endo	SHROOM4
GIMAP7	0	1.72582954196602	0.403	0.007	0	Endo	GIMAP7
SHANK3	0	1.72524598420757	0.469	0.025	0	Endo	SHANK3
MT1M	0	1.72173220160972	0.327	0.023	0	Endo	MT1M
SMAD9	0	1.72094575146677	0.486	0.087	0	Endo	SMAD9
DEPP1	0	1.71605425354099	0.407	0.091	0	Endo	DEPP1
CNOT6L	0	1.69854996693236	0.628	0.261	0	Endo	CNOT6L
CCSER1	0	1.68931081282445	0.431	0.144	0	Endo	CCSER1
CMIP	0	1.68698038899308	0.484	0.149	0	Endo	CMIP
NOSTRIN	0	1.67820181637195	0.573	0.19	0	Endo	NOSTRIN
SLC19A3	0	1.6682951300378	0.412	0.011	0	Endo	SLC19A3
SLC9A3R2	0	1.66605894945892	0.445	0.069	0	Endo	SLC9A3R2
SOX18	0	1.66582499739228	0.353	0.007	0	Endo	SOX18
AGFG1	0	1.66479520777721	0.717	0.353	0	Endo	AGFG1
GPR85	0	1.65744873253113	0.313	0.01	0	Endo	GPR85
PELI1	0	1.64785997801962	0.495	0.179	0	Endo	PELI1
TMCC3	0	1.64716917490561	0.412	0.04	0	Endo	TMCC3
NOTCH4	0	1.64245174649951	0.414	0.006	0	Endo	NOTCH4
NXN	0	1.6404471435462	0.764	0.384	0	Endo	NXN
ID3	0	1.63637101031771	0.543	0.178	0	Endo	ID3
RAPGEF2	0	1.63556811741528	0.814	0.511	0	Endo	RAPGEF2
KLF2	0	1.62917277516703	0.539	0.175	0	Endo	KLF2
CYTH1	0	1.62126536325274	0.581	0.191	0	Endo	CYTH1
CADPS2	0	1.6177494902338	0.762	0.428	0	Endo	CADPS2
ABCC4	0	1.61631560230136	0.392	0.098	0	Endo	ABCC4
THSD4	0	1.61299611436009	0.804	0.316	0	Endo	THSD4
TMEM123	0	1.60939560272095	0.526	0.161	0	Endo	TMEM123
EFR3B	0	1.6065495830057	0.423	0.052	0	Endo	EFR3B
IGF1R	0	1.60368996780621	0.832	0.506	0	Endo	IGF1R
BMPR2	0	1.60193461598617	0.811	0.519	0	Endo	BMPR2
NFKBIA	0	1.59885285259519	0.599	0.257	0	Endo	NFKBIA
HYAL2	0	1.59654485248482	0.371	0.029	0	Endo	HYAL2
PDE10A	0	1.59620508651785	0.697	0.163	0	Endo	PDE10A
CLIC5	0	1.59116980291873	0.295	0.01	0	Endo	CLIC5
TM4SF1	0	1.58650742064837	0.421	0.077	0	Endo	TM4SF1
NPIPB5	0	1.5680949193642	0.474	0.202	0	Endo	NPIPB5
CTTNBP2NL	0	1.55985654616578	0.517	0.139	0	Endo	CTTNBP2NL
ANKRD37	0	1.55502388238282	0.286	0.098	0	Endo	ANKRD37
PDXK	0	1.54983072709336	0.616	0.297	0	Endo	PDXK
EXOC6	0	1.54868240748167	0.604	0.215	0	Endo	EXOC6
GRASP	0	1.54352563881025	0.417	0.046	0	Endo	GRASP
TSC22D1	0	1.53739064624041	0.822	0.584	0	Endo	TSC22D1
IFNGR1	0	1.53556429614532	0.506	0.208	0	Endo	IFNGR1
SH3BP4	0	1.51746143055996	0.455	0.085	0	Endo	SH3BP4
KCTD12	0	1.5141553895975	0.385	0.037	0	Endo	KCTD12
FLNB	0	1.50811112121242	0.54	0.154	0	Endo	FLNB
ATP7B	0	1.50791206656494	0.36	0.04	0	Endo	ATP7B
SLC38A5	0	1.50306272555379	0.325	0.007	0	Endo	SLC38A5
SLC2A3	0	1.49800967684921	0.594	0.278	0	Endo	SLC2A3
RASIP1	0	1.49680728413608	0.384	0.009	0	Endo	RASIP1
EMP2	0	1.4966608526347	0.593	0.236	0	Endo	EMP2
HLA-A	0	1.49651936404727	0.51	0.186	0	Endo	HLA-A
UBC	0	1.49437297840633	0.711	0.439	0	Endo	UBC
PLAT	0	1.48776273736717	0.323	0.036	0	Endo	PLAT
SYNE1	0	1.4876637857408	0.833	0.601	0	Endo	SYNE1
PARVB	0	1.4843508820435	0.59	0.222	0	Endo	PARVB
EPB41L4A	0	1.48409682869038	0.675	0.312	0	Endo	EPB41L4A
SLC30A1	0	1.47715369293455	0.374	0.03	0	Endo	SLC30A1
ADGRL2	0	1.47688081592901	0.612	0.287	0	Endo	ADGRL2
DNM3	0	1.47498455995785	0.681	0.363	0	Endo	DNM3
RIN2	0	1.47380630297306	0.662	0.318	0	Endo	RIN2
ZFYVE28	0	1.46312393226272	0.512	0.153	0	Endo	ZFYVE28
LMO2	0	1.45944018861019	0.393	0.04	0	Endo	LMO2
TRPM6	0	1.45307984661311	0.292	0.01	0	Endo	TRPM6
CNTNAP3B	0	1.45229088913916	0.559	0.217	0	Endo	CNTNAP3B
GNAI2	0	1.44452001860324	0.575	0.211	0	Endo	GNAI2
CDH5	0	1.44450350399718	0.429	0.077	0	Endo	CDH5
MT1X	0	1.44421119038264	0.273	0.033	0	Endo	MT1X
VSIR	0	1.44356504273854	0.363	0.035	0	Endo	VSIR
PTPN14	0	1.439547278191	0.603	0.238	0	Endo	PTPN14
RAMP3	0	1.43696498882748	0.276	0.005	0	Endo	RAMP3
FAM107A	0	1.43590793120109	0.491	0.136	0	Endo	FAM107A
RBMS2	0	1.4324762106209	0.669	0.332	0	Endo	RBMS2
USP6NL	0	1.42987423089513	0.62	0.272	0	Endo	USP6NL
NLK	0	1.42807021930585	0.656	0.375	0	Endo	NLK
TAGLN2	0	1.42106497591136	0.454	0.128	0	Endo	TAGLN2
S1PR1	0	1.417954559139	0.354	0.007	0	Endo	S1PR1
LRRC32	0	1.40446751348416	0.419	0.096	0	Endo	LRRC32
MGAT4A	0	1.40361329731035	0.422	0.096	0	Endo	MGAT4A
NET1	0	1.4032573747645	0.38	0.074	0	Endo	NET1
RASGRF2	0	1.40095608457455	0.691	0.348	0	Endo	RASGRF2
LRP8	0	1.39773420105508	0.362	0.055	0	Endo	LRP8
KIAA1549	0	1.39634412907314	0.382	0.059	0	Endo	KIAA1549
ATP1A1	0	1.39389180352418	0.485	0.147	0	Endo	ATP1A1
XAF1	0	1.39347739347352	0.611	0.272	0	Endo	XAF1
TANC1	0	1.39291381752134	0.731	0.433	0	Endo	TANC1
DUSP1	0	1.39287566241088	0.648	0.302	0	Endo	DUSP1
LRCH1	0	1.39177359304567	0.671	0.361	0	Endo	LRCH1
CP	0	1.39031569192447	0.428	0.202	0	Endo	CP
LY6E	0	1.37897194826552	0.381	0.087	0	Endo	LY6E
PTPRM	0	1.37743641790833	0.884	0.717	0	Endo	PTPRM
YES1	0	1.37736560503453	0.489	0.149	0	Endo	YES1
CLEC14A	0	1.37410707245467	0.315	0.008	0	Endo	CLEC14A
KLHL5	0	1.36944353953656	0.591	0.265	0	Endo	KLHL5
ROBO4	0	1.36851983031303	0.35	0.022	0	Endo	ROBO4
RGCC	0	1.36542692231607	0.389	0.122	0	Endo	RGCC
PRSS23	0	1.36461213995554	0.334	0.058	0	Endo	PRSS23
ICA1	0	1.3572429995235	0.331	0.019	0	Endo	ICA1
DLL4	0	1.35251198746942	0.287	0.003	0	Endo	DLL4
PICALM	0	1.34065181464614	0.854	0.659	0	Endo	PICALM
SH2D3C	0	1.33937608667771	0.37	0.04	0	Endo	SH2D3C
ACVR1	0	1.33084885763367	0.536	0.241	0	Endo	ACVR1
TM4SF18	0	1.33052224542072	0.326	0.032	0	Endo	TM4SF18
STOX2	0	1.3280911530504	0.39	0.118	0	Endo	STOX2
RAPGEF1	0	1.3280876464928	0.692	0.414	0	Endo	RAPGEF1
ASRGL1	0	1.32443460251029	0.317	0.027	0	Endo	ASRGL1
CRIP2	0	1.32414354732872	0.465	0.126	0	Endo	CRIP2
PLA1A	0	1.32244020303151	0.258	0.012	0	Endo	PLA1A
NPAS2	0	1.31837214635726	0.616	0.361	0	Endo	NPAS2
ITGA2	0	1.31544696534717	0.285	0.022	0	Endo	ITGA2
SCARB1	0	1.3131412507951	0.633	0.4	0	Endo	SCARB1
CDK17	0	1.30918051505411	0.606	0.286	0	Endo	CDK17
PTTG1IP	0	1.30890213916384	0.517	0.202	0	Endo	PTTG1IP
PHACTR1	0	1.30880036107561	0.609	0.288	0	Endo	PHACTR1
WARS	0	1.30591165706767	0.331	0.09	0	Endo	WARS
PGM5	0	1.30371087360619	0.32	0.052	0	Endo	PGM5
PPP1R13B	0	1.30316184759063	0.494	0.157	0	Endo	PPP1R13B
SLC39A8	0	1.29970952685725	0.36	0.056	0	Endo	SLC39A8
NR3C2	0	1.29794621858077	0.69	0.46	0	Endo	NR3C2
AP3S1	0	1.29635526530403	0.562	0.278	0	Endo	AP3S1
RGS3	0	1.2945095536568	0.368	0.047	0	Endo	RGS3
S100A10	0	1.28907317196066	0.316	0.052	0	Endo	S100A10
TNFRSF10D	0	1.28691896699402	0.368	0.06	0	Endo	TNFRSF10D
PPARD	0	1.28480038245682	0.493	0.197	0	Endo	PPARD
JCAD	0	1.28344320297067	0.471	0.172	0	Endo	JCAD
EML1	0	1.28335762701761	0.374	0.103	0	Endo	EML1
RELL1	0	1.27638797928445	0.534	0.239	0	Endo	RELL1
HIPK3	0	1.2661116596191	0.656	0.442	0	Endo	HIPK3
NLRP1	0	1.26534295293534	0.37	0.057	0	Endo	NLRP1
BST2	0	1.26422725733753	0.407	0.106	0	Endo	BST2
TMEM87B	0	1.26411390076551	0.456	0.16	0	Endo	TMEM87B
SHE	0	1.26167048030477	0.335	0.021	0	Endo	SHE
DCLK1	0	1.26057817103964	0.327	0.118	0	Endo	DCLK1
SLC52A3	0	1.25926477347992	0.297	0.002	0	Endo	SLC52A3
NEDD4	0	1.25785338741884	0.5	0.173	0	Endo	NEDD4
TOX	0	1.25775884890246	0.259	0.038	0	Endo	TOX
HERPUD1	0	1.25617419322119	0.624	0.36	0	Endo	HERPUD1
NRP1	0	1.25516107430203	0.404	0.127	0	Endo	NRP1
APOLD1	0	1.25491212184459	0.638	0.348	0	Endo	APOLD1
PRICKLE2	0	1.25395754436211	0.612	0.429	0	Endo	PRICKLE2
PKP4	0	1.25110797945369	0.7	0.45	0	Endo	PKP4
HLA-C	0	1.24025201548701	0.446	0.179	0	Endo	HLA-C
TSPAN14	0	1.23782896895729	0.54	0.222	0	Endo	TSPAN14
SLC5A6	0	1.22881520469877	0.26	0.039	0	Endo	SLC5A6
RPS6KA3	0	1.2226800605866	0.592	0.297	0	Endo	RPS6KA3
TMTC2	0	1.2215888148876	0.43	0.183	0	Endo	TMTC2
ELMO1	0	1.21358497824744	0.619	0.282	0	Endo	ELMO1
CPD	0	1.21297946547179	0.564	0.292	0	Endo	CPD
CNOT8	0	1.21223977231551	0.44	0.141	0	Endo	CNOT8
PLPP1	0	1.21121422636312	0.67	0.471	0	Endo	PLPP1
GNAQ	0	1.20823066693323	0.806	0.574	0	Endo	GNAQ
SDCBP	0	1.20545314341158	0.514	0.214	0	Endo	SDCBP
ARFGEF2	0	1.20480287498998	0.59	0.316	0	Endo	ARFGEF2
SHROOM2	0	1.20215268919936	0.323	0.063	0	Endo	SHROOM2
ITGAV	0	1.2021200612138	0.567	0.303	0	Endo	ITGAV
SORT1	0	1.20176612334192	0.682	0.401	0	Endo	SORT1
ATP11A	0	1.1983757738692	0.578	0.317	0	Endo	ATP11A
RNASE1	0	1.19072229905293	0.283	0.024	0	Endo	RNASE1
OCLN	0	1.19037913782341	0.36	0.06	0	Endo	OCLN
KIAA0355	0	1.1890051491946	0.519	0.228	0	Endo	KIAA0355
PPP1R16B	0	1.18627110939919	0.278	0.022	0	Endo	PPP1R16B
AFDN	0	1.18300630254912	0.736	0.379	0	Endo	AFDN
RAMP2	0	1.18169437316943	0.272	0.029	0	Endo	RAMP2
SEMA6B	0	1.18006333449509	0.303	0.016	0	Endo	SEMA6B
ETV6	0	1.17881095208592	0.636	0.367	0	Endo	ETV6
CD46	0	1.17693612416188	0.564	0.315	0	Endo	CD46
PXN	0	1.1693331854187	0.491	0.204	0	Endo	PXN
ANKRD29	0	1.16635948406338	0.273	0.019	0	Endo	ANKRD29
ITGA1	0	1.16442242371845	0.682	0.471	0	Endo	ITGA1
GRAPL	0	1.15460086480897	0.293	0.025	0	Endo	GRAPL
ESAM	0	1.15164691725534	0.422	0.115	0	Endo	ESAM
ARFGEF3	0	1.15124166109482	0.336	0.063	0	Endo	ARFGEF3
NOS3	0	1.14888170170114	0.263	0.004	0	Endo	NOS3
STXBP6	0	1.14839101044396	0.467	0.116	0	Endo	STXBP6
ABLIM1	0	1.14037446160804	0.715	0.391	0	Endo	ABLIM1
PIK3C2A	0	1.13835577722675	0.632	0.387	0	Endo	PIK3C2A
MYO5C	0	1.13399079100015	0.308	0.041	0	Endo	MYO5C
EEF1A1	0	1.12603613620195	0.541	0.281	0	Endo	EEF1A1
SLC3A2	0	1.12401985259323	0.398	0.151	0	Endo	SLC3A2
WWTR1	0	1.12098713370944	0.742	0.513	0	Endo	WWTR1
OSMR	0	1.12006165493395	0.607	0.302	0	Endo	OSMR
DAB2IP	0	1.11690455138509	0.525	0.245	0	Endo	DAB2IP
TCF4	0	1.11656825239787	0.889	0.774	0	Endo	TCF4
ADGRG1	0	1.11546908818834	0.295	0.016	0	Endo	ADGRG1
FGD5	0	1.11451545736087	0.449	0.146	0	Endo	FGD5
ADD1	0	1.11317294717109	0.712	0.506	0	Endo	ADD1
FMNL3	0	1.11291084540473	0.434	0.14	0	Endo	FMNL3
GBP4	0	1.11278627051545	0.261	0.032	0	Endo	GBP4
RAC1	0	1.11171022348808	0.581	0.318	0	Endo	RAC1
MGST2	0	1.10733275378421	0.356	0.093	0	Endo	MGST2
SHC2	0	1.10268152195868	0.408	0.136	0	Endo	SHC2
MX1	0	1.10211754594152	0.325	0.088	0	Endo	MX1
DOCK4	0	1.10107701031898	0.606	0.357	0	Endo	DOCK4
RHOBTB1	0	1.09889553899435	0.339	0.106	0	Endo	RHOBTB1
WWC2	0	1.09751212135613	0.656	0.426	0	Endo	WWC2
FGR	0	1.09388657392576	0.263	0.008	0	Endo	FGR
EMP1	0	1.0934117584281	0.27	0.093	0	Endo	EMP1
PKN3	0	1.08993662666118	0.281	0.016	0	Endo	PKN3
HPCAL1	0	1.08882025725723	0.348	0.09	0	Endo	HPCAL1
LSR	0	1.08642053280282	0.289	0.026	0	Endo	LSR
MYCT1	0	1.08283869800785	0.259	0.003	0	Endo	MYCT1
NOVA2	0	1.08000680402024	0.278	0.011	0	Endo	NOVA2
MFHAS1	0	1.0781480283715	0.33	0.077	0	Endo	MFHAS1
PTPRG	0	1.0773010345923	0.946	0.826	0	Endo	PTPRG
PLSCR1	0	1.07729093601919	0.57	0.287	0	Endo	PLSCR1
MLKL	0	1.07690055071987	0.26	0.026	0	Endo	MLKL
PPP3CA	0	1.07629199480605	0.702	0.466	0	Endo	PPP3CA
JUN	0	1.07612455070481	0.37	0.158	0	Endo	JUN
TMEM44	0	1.07256476352163	0.3	0.037	0	Endo	TMEM44
JAM2	0	1.07237591349668	0.395	0.14	0	Endo	JAM2
ARHGEF3	0	1.07086527847594	0.418	0.164	0	Endo	ARHGEF3
USP54	0	1.07035256023147	0.58	0.316	0	Endo	USP54
DEPTOR	0	1.06905764406042	0.277	0.082	0	Endo	DEPTOR
ARHGAP18	0	1.06386863785525	0.275	0.037	0	Endo	ARHGAP18
STK10	0	1.0633394189397	0.297	0.047	0	Endo	STK10
STAU2	0	1.06004545256739	0.515	0.3	0	Endo	STAU2
ASAP1	0	1.05943363284142	0.834	0.662	0	Endo	ASAP1
PARP14	0	1.05726222042938	0.553	0.314	0	Endo	PARP14
STX12	0	1.05218256547511	0.538	0.289	0	Endo	STX12
PPA1	0	1.05143305674205	0.365	0.115	0	Endo	PPA1
ACVRL1	0	1.04941698319241	0.298	0.039	0	Endo	ACVRL1
PTMA	0	1.04344679683318	0.586	0.354	0	Endo	PTMA
BHLHE40	0	1.0431907341773	0.42	0.172	0	Endo	BHLHE40
EFNB2	0	1.04184897112108	0.32	0.118	0	Endo	EFNB2
MSN	0	1.03692377891494	0.488	0.284	0	Endo	MSN
ENTPD1	0	1.03530448499712	0.29	0.074	0	Endo	ENTPD1
IL18R1	0	1.02975679507729	0.307	0.069	0	Endo	IL18R1
ITPR3	0	1.02941390088709	0.325	0.072	0	Endo	ITPR3
MAP3K8	0	1.0257598269756	0.352	0.133	0	Endo	MAP3K8
LIFR	0	1.02516883536941	0.42	0.194	0	Endo	LIFR
CASP10	0	1.02023735796993	0.274	0.028	0	Endo	CASP10
IFI16	0	1.02001971102141	0.474	0.221	0	Endo	IFI16
C1GALT1	0	1.01556780701731	0.336	0.129	0	Endo	C1GALT1
FOXO1	0	1.01541402931347	0.595	0.34	0	Endo	FOXO1
STARD4	0	1.01325479368062	0.297	0.06	0	Endo	STARD4
UNC13B	0	1.0112810354077	0.569	0.346	0	Endo	UNC13B
PRELID2	0	1.00913898039611	0.386	0.175	0	Endo	PRELID2
IFITM3	0	1.00110030137876	0.577	0.366	0	Endo	IFITM3
HMCN1	0	0.998636507427812	0.267	0.094	0	Endo	HMCN1
MEF2C	0	0.998240831493147	0.666	0.374	0	Endo	MEF2C
SGMS1	0	0.995337141865442	0.706	0.525	0	Endo	SGMS1
CCDC50	0	0.995008496189066	0.498	0.271	0	Endo	CCDC50
SOCS3	0	0.993752959381046	0.269	0.053	0	Endo	SOCS3
SERPINB6	0	0.993260166021583	0.549	0.33	0	Endo	SERPINB6
SMAD1	0	0.989627478747117	0.285	0.089	0	Endo	SMAD1
TMSB4X	0	0.989370556983671	0.53	0.32	0	Endo	TMSB4X
IFITM2	0	0.989189065653446	0.376	0.156	0	Endo	IFITM2
PAPSS2	0	0.986418118108076	0.545	0.295	0	Endo	PAPSS2
TPM3	0	0.984922273285438	0.396	0.144	0	Endo	TPM3
PPFIBP1	0	0.981582394311955	0.843	0.725	0	Endo	PPFIBP1
EPSTI1	0	0.978404438611533	0.401	0.194	0	Endo	EPSTI1
CFLAR	0	0.978069370677493	0.738	0.555	0	Endo	CFLAR
GNB4	0	0.976705758680896	0.368	0.136	0	Endo	GNB4
PIK3C2B	0	0.974970840530059	0.283	0.085	0	Endo	PIK3C2B
RPS23	0	0.964174874646597	0.367	0.163	0	Endo	RPS23
SULF2	0	0.95676038259836	0.453	0.218	0	Endo	SULF2
DOCK1	0	0.955648740175715	0.769	0.616	0	Endo	DOCK1
